Ticket_ID,Sale_Date,Source_Station,Destination_Station,Passenger_Age,Coach_Type,Ticket_Price,Payment_Mode,Route,Year,Month,Day,Weekday,Is_Weekend,DayOfWeek,IsWeekend,AgeGroup,Demand_Label
1,2023-01-01,SBC,Delhi,24,Sleeper,1065,Cash,SBC-Delhi,2023,1,1,Sunday,1,6,1,Young,High
2,2023-01-01,Mumbai,Chennai,46,General,338,Cash,Mumbai-Chennai,2023,1,1,Sunday,1,6,1,Adult,High
3,2023-01-01,SBC,Mumbai,76,General,420,UPI,SBC-Mumbai,2023,1,1,Sunday,1,6,1,Senior,High
4,2023-01-01,BCT,HWH,38,Sleeper,872,UPI,BCT-HWH,2023,1,1,Sunday,1,6,1,Adult,Medium
5,2023-01-01,Delhi,Delhi,54,AC,1653,UPI,Delhi-Delhi,2023,1,1,Sunday,1,6,1,Senior,High
6,2023-01-01,Mumbai,SBC,15,AC,1748,Cash,Mumbai-SBC,2023,1,1,Sunday,1,6,1,Child,Low
7,2023-01-01,HWH,Gorakhpur,47,AC,1778,UPI,HWH-Gorakhpur,2023,1,1,Sunday,1,6,1,Adult,Medium
8,2023-01-01,Jaipur,Gorakhpur,14,General,475,UPI,Jaipur-Gorakhpur,2023,1,1,Sunday,1,6,1,Child,Medium
9,2023-01-01,MAS,Mumbai,12,Sleeper,1113,NetBanking,MAS-Mumbai,2023,1,1,Sunday,1,6,1,Child,High
10,2023-01-02,Jaipur,NDLS,76,General,287,NetBanking,Jaipur-NDLS,2023,1,2,Monday,0,0,0,Senior,Low
11,2023-01-02,Chennai,Delhi,23,AC,2298,Card,Chennai-Delhi,2023,1,2,Monday,0,0,0,Young,Medium
12,2023-01-02,Delhi,SBC,69,General,329,Cash,Delhi-SBC,2023,1,2,Monday,0,0,0,Senior,High
13,2023-01-02,Gorakhpur,MAS,59,General,277,UPI,Gorakhpur-MAS,2023,1,2,Monday,0,0,0,Senior,High
14,2023-01-02,Gorakhpur,Jaipur,56,Sleeper,840,Card,Gorakhpur-Jaipur,2023,1,2,Monday,0,0,0,Senior,High
15,2023-01-02,MAS,NDLS,7,AC,2152,Card,MAS-NDLS,2023,1,2,Monday,0,0,0,Child,Low
16,2023-01-02,Delhi,MAS,57,AC,2239,UPI,Delhi-MAS,2023,1,2,Monday,0,0,0,Senior,Low
17,2023-01-02,Mumbai,Jaipur,48,Sleeper,835,Card,Mumbai-Jaipur,2023,1,2,Monday,0,0,0,Adult,Low
18,2023-01-03,HWH,Gorakhpur,52,Sleeper,727,NetBanking,HWH-Gorakhpur,2023,1,3,Tuesday,0,1,0,Senior,Medium
19,2023-01-03,Chennai,MAS,58,Sleeper,1102,NetBanking,Chennai-MAS,2023,1,3,Tuesday,0,1,0,Senior,Medium
20,2023-01-03,Gorakhpur,NDLS,20,Sleeper,799,UPI,Gorakhpur-NDLS,2023,1,3,Tuesday,0,1,0,Young,Low
21,2023-01-03,MAS,Jaipur,34,Sleeper,1142,Cash,MAS-Jaipur,2023,1,3,Tuesday,0,1,0,Young,Medium
22,2023-01-03,Jaipur,NDLS,32,AC,2001,Cash,Jaipur-NDLS,2023,1,3,Tuesday,0,1,0,Young,Low
23,2023-01-03,HWH,NDLS,20,Sleeper,1091,UPI,HWH-NDLS,2023,1,3,Tuesday,0,1,0,Young,Medium
24,2023-01-03,Gorakhpur,Jaipur,55,Sleeper,620,Card,Gorakhpur-Jaipur,2023,1,3,Tuesday,0,1,0,Senior,High
25,2023-01-03,Jaipur,SBC,37,Sleeper,833,Card,Jaipur-SBC,2023,1,3,Tuesday,0,1,0,Adult,High
26,2023-01-04,Mumbai,Gorakhpur,29,General,401,UPI,Mumbai-Gorakhpur,2023,1,4,Wednesday,0,2,0,Young,Low
27,2023-01-04,Jaipur,Mumbai,22,AC,2290,Card,Jaipur-Mumbai,2023,1,4,Wednesday,0,2,0,Young,Medium
28,2023-01-04,HWH,Chennai,30,Sleeper,1015,UPI,HWH-Chennai,2023,1,4,Wednesday,0,2,0,Young,Low
29,2023-01-04,Jaipur,BCT,10,Sleeper,747,Cash,Jaipur-BCT,2023,1,4,Wednesday,0,2,0,Child,Medium
30,2023-01-04,Mumbai,Mumbai,42,AC,2469,Card,Mumbai-Mumbai,2023,1,4,Wednesday,0,2,0,Adult,High
31,2023-01-04,Chennai,MAS,48,Sleeper,628,Cash,Chennai-MAS,2023,1,4,Wednesday,0,2,0,Adult,Medium
32,2023-01-04,HWH,Jaipur,71,AC,1860,UPI,HWH-Jaipur,2023,1,4,Wednesday,0,2,0,Senior,High
33,2023-01-04,Chennai,SBC,47,AC,1807,UPI,Chennai-SBC,2023,1,4,Wednesday,0,2,0,Adult,High
34,2023-01-05,MAS,SBC,10,General,361,Card,MAS-SBC,2023,1,5,Thursday,0,3,0,Child,High
35,2023-01-05,Delhi,MAS,68,General,260,Cash,Delhi-MAS,2023,1,5,Thursday,0,3,0,Senior,Low
36,2023-01-05,Jaipur,Delhi,17,General,324,NetBanking,Jaipur-Delhi,2023,1,5,Thursday,0,3,0,Child,Low
37,2023-01-05,BCT,NDLS,69,Sleeper,1055,NetBanking,BCT-NDLS,2023,1,5,Thursday,0,3,0,Senior,Medium
38,2023-01-05,Chennai,BCT,42,AC,1570,Card,Chennai-BCT,2023,1,5,Thursday,0,3,0,Adult,Low
39,2023-01-05,Mumbai,MAS,68,Sleeper,1065,UPI,Mumbai-MAS,2023,1,5,Thursday,0,3,0,Senior,High
40,2023-01-05,Gorakhpur,MAS,18,Sleeper,842,NetBanking,Gorakhpur-MAS,2023,1,5,Thursday,0,3,0,Child,High
41,2023-01-05,Chennai,Chennai,21,AC,1989,NetBanking,Chennai-Chennai,2023,1,5,Thursday,0,3,0,Young,Medium
42,2023-01-06,Gorakhpur,Mumbai,17,Sleeper,820,UPI,Gorakhpur-Mumbai,2023,1,6,Friday,0,4,0,Child,Low
