Sale_Date,Route,Tickets_Sold
2023-01-01,BCT-HWH,1
2023-01-01,Delhi-Delhi,1
2023-01-01,HWH-Gorakhpur,1
2023-01-01,Jaipur-Gorakhpur,1
2023-01-01,MAS-Mumbai,1
2023-01-01,Mumbai-Chennai,1
2023-01-01,Mumbai-SBC,1
2023-01-01,SBC-Delhi,1
2023-01-01,SBC-Mumbai,1
2023-01-02,Chennai-Delhi,1
2023-01-02,Delhi-MAS,1
2023-01-02,Delhi-SBC,1
2023-01-02,Gorakhpur-Jaipur,1
2023-01-02,Gorakhpur-MAS,1
2023-01-02,Jaipur-NDLS,1
2023-01-02,MAS-NDLS,1
2023-01-02,Mumbai-Jaipur,1
2023-01-03,Chennai-MAS,1
2023-01-03,Gorakhpur-Jaipur,1
2023-01-03,Gorakhpur-NDLS,1
2023-01-03,HWH-Gorakhpur,1
2023-01-03,HWH-NDLS,1
2023-01-03,Jaipur-NDLS,1
2023-01-03,Jaipur-SBC,1
2023-01-03,MAS-Jaipur,1
2023-01-04,Chennai-MAS,1
2023-01-04,Chennai-SBC,1
2023-01-04,HWH-Chennai,1
2023-01-04,HWH-Jaipur,1
2023-01-04,Jaipur-BCT,1
2023-01-04,Jaipur-Mumbai,1
2023-01-04,Mumbai-Gorakhpur,1
2023-01-04,Mumbai-Mumbai,1
2023-01-05,BCT-NDLS,1
2023-01-05,Chennai-BCT,1
2023-01-05,Chennai-Chennai,1
2023-01-05,Delhi-MAS,1
2023-01-05,Gorakhpur-MAS,1
2023-01-05,Jaipur-Delhi,1
2023-01-05,MAS-SBC,1
2023-01-05,Mumbai-MAS,1
2023-01-06,Gorakhpur-MAS,1
2023-01-06,Gorakhpur-Mumbai,2
2023-01-06,HWH-Delhi,1
2023-01-06,HWH-MAS,1
2023-01-06,Jaipur-MAS,1
2023-01-06,MAS-Delhi,1
2023-01-06,NDLS-MAS,1
2023-01-07,Delhi-Gorakhpur,1
2023-01-07,Gorakhpur-NDLS,1
2023-01-07,Jaipur-HWH,1
2023-01-07,MAS-Chennai,1
2023-01-07,Mumbai-Gorakhpur,1
2023-01-07,NDLS-BCT,1
2023-01-07,NDLS-Mumbai,1
2023-01-07,NDLS-SBC,1
2023-01-08,Chennai-Gorakhpur,1
2023-01-08,Gorakhpur-Delhi,1
2023-01-08,HWH-Gorakhpur,1
2023-01-08,Jaipur-HWH,1
2023-01-08,MAS-Delhi,1
2023-01-08,MAS-HWH,1
2023-01-08,Mumbai-Delhi,1
2023-01-08,NDLS-Mumbai,1
2023-01-09,BCT-Delhi,1
2023-01-09,BCT-Gorakhpur,1
2023-01-09,Chennai-Chennai,1
2023-01-09,Chennai-HWH,1
2023-01-09,Gorakhpur-SBC,1
2023-01-09,Mumbai-Chennai,1
2023-01-09,NDLS-Gorakhpur,1
2023-01-09,NDLS-Jaipur,1
2023-01-10,Delhi-HWH,1
2023-01-10,Gorakhpur-Gorakhpur,2
2023-01-10,Gorakhpur-Jaipur,1
2023-01-10,Gorakhpur-MAS,1
2023-01-10,HWH-Jaipur,1
2023-01-10,Jaipur-SBC,1
2023-01-10,Mumbai-MAS,1
2023-01-11,BCT-Gorakhpur,1
2023-01-11,HWH-Delhi,1
2023-01-11,HWH-Jaipur,1
2023-01-11,Jaipur-Delhi,1
2023-01-11,NDLS-Delhi,1
2023-01-11,NDLS-Gorakhpur,1
2023-01-11,NDLS-HWH,1
2023-01-11,SBC-BCT,1
2023-01-12,BCT-Gorakhpur,1
2023-01-12,BCT-Mumbai,1
2023-01-12,Delhi-Delhi,1
2023-01-12,Delhi-MAS,1
2023-01-12,HWH-Delhi,1
2023-01-12,Jaipur-Jaipur,1
2023-01-12,Mumbai-MAS,1
2023-01-12,SBC-MAS,1
2023-01-13,Chennai-BCT,1
2023-01-13,Chennai-Delhi,1
2023-01-13,Delhi-SBC,1
2023-01-13,Gorakhpur-Chennai,1
2023-01-13,Jaipur-Delhi,1
2023-01-13,Mumbai-HWH,1
2023-01-13,NDLS-Chennai,1
2023-01-13,SBC-Mumbai,1
2023-01-14,BCT-Gorakhpur,1
2023-01-14,Chennai-Mumbai,1
2023-01-14,Gorakhpur-Gorakhpur,1
2023-01-14,HWH-Mumbai,1
2023-01-14,MAS-Jaipur,1
2023-01-14,MAS-NDLS,2
2023-01-14,Mumbai-Delhi,1
2023-01-15,BCT-Chennai,1
2023-01-15,Chennai-NDLS,1
2023-01-15,Gorakhpur-MAS,1
2023-01-15,Jaipur-HWH,1
2023-01-15,Jaipur-Mumbai,1
2023-01-15,MAS-BCT,1
2023-01-15,MAS-NDLS,1
2023-01-15,SBC-SBC,1
2023-01-16,BCT-Chennai,1
2023-01-16,Chennai-MAS,2
2023-01-16,Delhi-Mumbai,1
2023-01-16,Gorakhpur-Mumbai,1
2023-01-16,HWH-Delhi,1
