Ticket_ID,Sale_Date,Source_Station,Destination_Station,Passenger_Age,Coach_Type,Ticket_Price,Payment_Mode
000001,2023-01-01,SBC,Delhi,24,Sleeper,1065,Cash
000002,2023-01-01,Mumbai,Chennai,46,General,338,Cash
000003,2023-01-01,SBC,Mumbai,76,General,420,UPI
000004,2023-01-01,BCT,HWH,38,Sleeper,872,UPI
000005,2023-01-01,Delhi,Delhi,54,AC,1653,UPI
000006,2023-01-01,Mumbai,SBC,15,AC,1748,Cash
000007,2023-01-01,HWH,Gorakhpur,47,AC,1778,UPI
000008,2023-01-01,Jaipur,Gorakhpur,14,General,475,UPI
000009,2023-01-01,MAS,Mumbai,12,Sleeper,1113,NetBanking
000010,2023-01-02,Jaipur,NDLS,76,General,287,NetBanking
000011,2023-01-02,Chennai,Delhi,23,AC,2298,Card
000012,2023-01-02,Delhi,SBC,69,General,329,Cash
000013,2023-01-02,Gorakhpur,MAS,59,General,277,UPI
000014,2023-01-02,Gorakhpur,Jaipur,56,Sleeper,840,Card
000015,2023-01-02,MAS,NDLS,7,AC,2152,Card
000016,2023-01-02,Delhi,MAS,57,AC,2239,UPI
000017,2023-01-02,Mumbai,Jaipur,48,Sleeper,835,Card
000018,2023-01-03,HWH,Gorakhpur,52,Sleeper,727,NetBanking
000019,2023-01-03,Chennai,MAS,58,Sleeper,1102,NetBanking
000020,2023-01-03,Gorakhpur,NDLS,20,Sleeper,799,UPI
000021,2023-01-03,MAS,Jaipur,34,Sleeper,1142,Cash
000022,2023-01-03,Jaipur,NDLS,32,AC,2001,Cash
000023,2023-01-03,HWH,NDLS,20,Sleeper,1091,UPI
000024,2023-01-03,Gorakhpur,Jaipur,55,Sleeper,620,Card
000025,2023-01-03,Jaipur,SBC,37,Sleeper,833,Card
000026,2023-01-04,Mumbai,Gorakhpur,29,General,401,UPI
000027,2023-01-04,Jaipur,Mumbai,22,AC,2290,Card
000028,2023-01-04,HWH,Chennai,30,Sleeper,1015,UPI
000029,2023-01-04,Jaipur,BCT,10,Sleeper,747,Cash
000030,2023-01-04,Mumbai,Mumbai,42,AC,2469,Card
000031,2023-01-04,Chennai,MAS,48,Sleeper,628,Cash
000032,2023-01-04,HWH,Jaipur,71,AC,1860,UPI
000033,2023-01-04,Chennai,SBC,47,AC,1807,UPI
000034,2023-01-05,MAS,SBC,10,General,361,Card
000035,2023-01-05,Delhi,MAS,68,General,260,Cash
000036,2023-01-05,Jaipur,Delhi,17,General,324,NetBanking
000037,2023-01-05,BCT,NDLS,69,Sleeper,1055,NetBanking
000038,2023-01-05,Chennai,BCT,42,AC,1570,Card
000039,2023-01-05,Mumbai,MAS,68,Sleeper,1065,UPI
000040,2023-01-05,Gorakhpur,MAS,18,Sleeper,842,NetBanking
000041,2023-01-05,Chennai,Chennai,21,AC,1989,NetBanking
000042,2023-01-06,Gorakhpur,Mumbai,17,Sleeper,820,UPI
000043,2023-01-06,Jaipur,MAS,77,AC,1972,UPI
000044,2023-01-06,MAS,Delhi,10,General,220,Card
000045,2023-01-06,NDLS,MAS,10,Sleeper,1093,Card
000046,2023-01-06,HWH,MAS,41,Sleeper,681,Cash
000047,2023-01-06,Gorakhpur,Mumbai,61,Sleeper,1121,Card
000048,2023-01-06,Gorakhpur,MAS,57,Sleeper,611,NetBanking
000049,2023-01-06,HWH,Delhi,50,Sleeper,862,NetBanking
000050,2023-01-07,NDLS,Mumbai,8,AC,2156,NetBanking
000051,2023-01-07,Jaipur,HWH,38,General,391,NetBanking
000052,2023-01-07,Mumbai,Gorakhpur,70,General,449,Cash
000053,2023-01-07,Delhi,Gorakhpur,67,General,313,NetBanking
000054,2023-01-07,Gorakhpur,NDLS,65,General,225,Cash
000055,2023-01-07,NDLS,BCT,46,Sleeper,1098,NetBanking
000056,2023-01-07,NDLS,SBC,68,General,232,UPI
000057,2023-01-07,MAS,Chennai,21,AC,1561,Card
000058,2023-01-08,Gorakhpur,Delhi,65,AC,1728,Card
000059,2023-01-08,Chennai,Gorakhpur,34,AC,2314,UPI
000060,2023-01-08,Jaipur,HWH,47,Sleeper,634,NetBanking
000061,2023-01-08,Mumbai,Delhi,11,Sleeper,1055,NetBanking
000062,2023-01-08,NDLS,Mumbai,77,Sleeper,1187,NetBanking
000063,2023-01-08,MAS,HWH,50,General,448,Card
000064,2023-01-08,MAS,Delhi,27,Sleeper,1194,Card
000065,2023-01-08,HWH,Gorakhpur,40,Sleeper,624,UPI
000066,2023-01-09,Gorakhpur,SBC,18,Sleeper,1168,UPI
000067,2023-01-09,NDLS,Jaipur,24,AC,1531,NetBanking
000068,2023-01-09,Mumbai,Chennai,60,General,211,UPI
000069,2023-01-09,Chennai,Chennai,36,AC,1818,UPI
000070,2023-01-09,BCT,Delhi,29,General,291,Card
000071,2023-01-09,BCT,Gorakhpur,53,General,200,UPI
000072,2023-01-09,Chennai,HWH,61,AC,1934,UPI
000073,2023-01-09,NDLS,Gorakhpur,31,AC,2337,Card
000074,2023-01-10,Gorakhpur,Gorakhpur,31,General,335,UPI
000075,2023-01-10,Mumbai,MAS,50,General,395,UPI
000076,2023-01-10,HWH,Jaipur,49,General,332,Cash
000077,2023-01-10,Gorakhpur,MAS,30,General,285,Card
000078,2023-01-10,Delhi,HWH,18,AC,1975,NetBanking
000079,2023-01-10,Gorakhpur,Jaipur,52,Sleeper,923,UPI
000080,2023-01-10,Gorakhpur,Gorakhpur,19,AC,1679,Cash
000081,2023-01-10,Jaipur,SBC,55,General,203,NetBanking
000082,2023-01-11,NDLS,HWH,58,Sleeper,774,Card
000083,2023-01-11,HWH,Delhi,15,Sleeper,620,UPI
000084,2023-01-11,Jaipur,Delhi,79,AC,2496,UPI
000085,2023-01-11,NDLS,Delhi,32,Sleeper,704,Cash
000086,2023-01-11,SBC,BCT,59,Sleeper,1177,Card
000087,2023-01-11,HWH,Jaipur,73,General,462,UPI
000088,2023-01-11,NDLS,Gorakhpur,76,Sleeper,648,Cash
000089,2023-01-11,BCT,Gorakhpur,30,General,215,Card
000090,2023-01-12,Jaipur,Jaipur,74,Sleeper,744,Card
000091,2023-01-12,SBC,MAS,36,AC,1839,Cash
000092,2023-01-12,HWH,Delhi,52,General,449,Cash
